epoch,lr,train_loss,train_acc,dev_loss,dev_acc,dev_eer,best_dev_eer
1,0.0001,0.2724964560782973,90.30638707765264,0.348308477626935,85.60942760942761,28.110082304526752,1000000000.0
2,0.0001,0.24031804831478817,91.27148784825133,0.3514599659238552,84.85858585858585,26.62757201646091,28.110082304526752
3,0.0001,0.22943979287746394,91.8438796680498,0.331652694222376,86.31313131313131,25.104938271604937,26.62757201646091
4,0.0001,0.22138122188961923,92.18842620035566,0.32088071929312945,88.006734006734,26.147119341563783,25.104938271604937
5,0.0001,0.2159732311464974,92.59965915826912,0.3404970448584455,86.76767676767678,24.724279835390945,25.104938271604937
6,0.0001,0.20805647273652286,92.92382928275045,0.38456445798253797,86.08754208754209,31.89814814814815,24.724279835390945
7,0.0001,0.20215917777250206,93.28319502074689,0.3160417332515457,88.34343434343435,24.708847736625515,24.724279835390945
8,0.0001,0.19590873094016126,93.68516597510373,0.2997098746253388,89.12457912457913,24.21090534979424,24.708847736625515
9,0.0001,0.18991227841825087,93.92412566686426,0.2912113954853447,89.22222222222223,24.262345679012345,24.21090534979424
10,0.0001,0.18676417392071848,94.06120331950207,0.3181847739289039,88.61616161616162,25.63888888888889,24.21090534979424
11,0.0001,0.18400087046796357,94.23718138707765,0.3116349435468536,88.83838383838383,27.553497942386834,24.21090534979424
12,0.0001,0.1805420632837931,94.37240663900414,0.3107941009924297,89.37373737373737,27.105967078189302,24.21090534979424
13,5e-05,0.17156296682383404,94.70954356846472,0.3528962482490744,88.33670033670033,28.689300411522634,24.21090534979424
14,5e-05,0.16927747014815028,94.82624481327801,0.3621974841814861,88.12121212121212,28.33539094650206,24.21090534979424
15,5e-05,0.167724344937907,94.9188648488441,0.36698770105229256,88.15824915824916,28.18415637860082,24.21090534979424
16,2.5e-05,0.16206375493049163,95.1393005334914,0.31021052357751727,89.78114478114479,27.379629629629633,24.21090534979424
